num_models,fold,doc_offset,model_span,model_ent_type,error_type,corpus_span,corpus_ent_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
15,dev,87,"[595, 600): 'Cotti'",PER,Missing,,,,,,,,
15,dev,115,"[594, 609): 'Stirling County'",ORG,Span,"[594, 602): 'Stirling'",,"[594, 609): 'Stirling County'",,Rugby team,,,
15,dev,170,"[2972, 2991): 'Alan John Percivale'",PER,None,,,,,"[2959, 2994): 'Alan John Percivale( A.J.P.) Taylor'",,,
15,dev,185,"[54, 62): 'SANTIAGO'",LOC,Tag,,PER,,LOC,,,6/6/20 16:35,0:05
15,dev,189,"[3072, 3085): 'James Leander'",PER,None,,,,,"[3063, 3090): 'James Leander (Leo) Nichols'",6/8/20 16:15,,
15,dev,192,"[180, 185): 'China'",LOC,None,,,,,"[164, 185): 'Human Rights in China'",,,
15,dev,193,"[178, 183): 'China'",LOC,None,,,,,"[162, 183): 'Human Rights in China'",,,
15,dev,206,"[368, 379): 'Carl Vinson'",PER,None,,,,,Aircraft carrier U.S.S. Carl Vinson,,,
15,test,8,"[697, 706): 'Yorkshire'",ORG,None,,LOC,,MISC,"Ambiguous - ""the Yorkshire club"": ""Yorkshire"" as adjective",,,
15,test,25,"[978, 985): 'Arizona'",LOC,None,,,,,Arizona football team,,,
15,test,27,"[536, 552): 'WESTERN DIVISION'",MISC,None,,,,,Conferences/divisions of leagues not considered entities,,,
15,test,27,"[1008, 1024): 'WESTERN DIVISION'",MISC,None,,,,,Conferences/divisions of leagues not considered entities,,,
15,test,60,"[1392, 1400): 'American'",MISC,None,,,,,American Airlines,,,
15,test,60,"[2133, 2141): 'American'",MISC,None,,,,,,,,
15,test,71,"[153, 178): 'New York Commodities Desk'",ORG,Span,"[153, 173): 'New York Commodities'",,"[153, 178): 'New York Commodities Desk'",,,,,
15,test,96,"[512, 521): 'Brazilian'",MISC,None,,,,,"[512, 545): 'Brazilian Plastic Surgery Society'",,,
15,test,103,"[201, 208): 'Rangoon'",LOC,None,,,,,"[193, 220): 'Ranyon (Rangoon) University'",,6/8/20 16:33,0:18
15,test,115,"[459, 465): 'Luebke'",PER,Missing,,,,,,6/8/20 16:51,,
15,test,119,"[368, 375): 'Chicago'",ORG,None,,LOC,,,Destination of soybean shipment,,,
15,test,126,"[373, 387): 'Herri Batasuna'",PER,None,,ORG,,,"""Herri Batasuna, the political wing of Basque separatist group ETA.""",,,
15,test,176,"[57, 67): 'K.T. Arasu'",PER,Tag,,LOC,,,Author of article,,,
15,test,186,"[432, 454): 'Ingeborg Helen Markein'",PER,Span,"[432, 446): 'Ingeborg Helen'",PER,"[432, 454): 'Ingeborg Helen Markein'",PER,,,,
,test,190,,,Both,"[440, 445): 'Italy'",LOC,"[440, 447): 'Italy I'",ORG,Bobsled team,,,
15,test,190,"[875, 878): 'USA'",LOC,None,,,,,"[875, 880): 'USA I' (bobsled team)",,,
15,test,192,"[776, 789): 'United States'",LOC,None,,,"[776, 791): 'United States I'",,Bobsled team,,,
,test,192,,,Sentence,"[808, 815): 'Garrett'",PER,"[808, 821): 'Garrett Hines'",,Sentence boundary in middle of name,,,
,test,192,,,Sentence,"[816, 821): 'Hines'",PER,"[808, 821): 'Garrett Hines'",,,,,
15,test,199,"[27, 35): 'SCOTTISH'",MISC,Span,"[27, 52): 'SCOTTISH PREMIER DIVISION'",MISC,"[27, 35): 'SCOTTISH'",MISC,,,,
15,test,216,"[219, 227): 'Tasmania'",LOC,None,,,,,,,,
15,test,224,"[1036, 1042): 'Ottawa'",LOC,None,,ORG,,,Ottawa hockey team,,,
14,dev,42,"[519, 539): 'Kloof Gold Mining Co'",ORG,Span,"[476, 539): 'Driefontein Consolidated and Gold Fields ' Kloof Gold Mining Co'",ORG,,,Kloof Gold Mining Co is a subsidiary of the other two companies,,,
14,dev,66,"[803, 808): 'Islam'",MISC,None,,,,,"[788, 803): 'Nation of Islam'",,,
14,dev,85,"[1140, 1148): 'Indosuez'",LOC,None,,ORG,,,,,,
14,dev,90,"[983, 991): 'Onarheim'",PER,Tag,,LOC,,PER,Stig Onarheim,,,
14,dev,109,"[59, 69): 'BIRMINGHAM'",LOC,Tag,,ORG,,LOC,Dateline of article,,,
14,dev,170,"[726, 736): 'Strasbourg'",ORG,None,,LOC,,,,,,
14,dev,179,"[1625, 1637): 'Rwandan Hutu'",MISC,None,,,,,"[1620, 1627): 'Rwandan' and [1628, 1632): 'Hutu'	",,,
14,dev,191,"[660, 670): 'Korean War'",MISC,Span,"[660, 666): 'Korean'",,"[660, 670): 'Korean War'",,,,,
14,dev,206,"[2266, 2273): 'Marines'",ORG,None,,MISC,,,,,,
14,dev,206,"[2472, 2483): 'Carl Vinson'",PER,None,,MISC,,,U.S.S. Carl Vinson,,,
14,dev,214,"[2740, 2755): 'Michael Collins'",PER,None,,MISC,,,Film named after person,,,
14,test,1,"[691, 700): 'World Cup'",MISC,None,,,,,"[686, 700): '1995 World Cup'",,,
14,test,9,"[294, 304): 'Ulker Spor'",PER,None,,ORG,,,Basketball Team,,,
14,test,9,"[774, 785): 'Efes Pilsen'",PER,None,,ORG,,,Basketball Team,,,
14,test,12,"[1315, 1321): 'REUTER'",PER,None,,ORG,,,"Should be ""REUTERS"", but document is missing its final character",,,
14,test,27,"[384, 400): 'CENTRAL DIVISION'",MISC,None,,,,,Conferences/divisions of leagues not considered entities,,,
14,test,27,"[860, 876): 'CENTRAL DIVISION'",MISC,None,,,,,Conferences/divisions of leagues not considered entities,,,
14,test,31,"[532, 542): 'FC Cologne'",ORG,None,,,,,"[529, 542): '1. FC Cologne'",,,
14,test,41,"[674, 688): 'Sporting Gijon'",ORG,Span,"[674, 682): 'Sporting'",,"[674, 688): 'Sporting Gijon'",,,,,
14,test,47,"[295, 317): 'Mahindra International'",ORG,None,,MISC,,,Squash competition,,,
14,test,49,"[57, 63): 'DURBAN'",LOC,Tag,,PER,,LOC,Dateline of article,,,
14,test,53,"[173, 184): 'Polish Jews'",MISC,None,,,,,"[173, 179): 'Polish'	and [180, 184): 'Jews'	",,,
14,test,54,"[653, 672): 'Zaklady Piwowarskie'",PER,None,,,,,"[653, 683): 'Zaklady Piwowarskie w Zywcu SA'/ORG",,,
14,test,72,"[78, 85): 'MIDEAST'",LOC,Missing,,,"[78, 85): 'MIDEAST'",,,,,
14,test,79,"[219, 227): 'Daniella'",PER,None,,MISC,,,Tropical storm,,,
14,test,98,"[944, 950): 'Mexico'",LOC,None,,,,,"[936, 950): 'Gulf of Mexico'",,,
14,test,100,"[56, 64): 'SANTIAGO'",LOC,Tag,,PER,,LOC,Dateline of article,,,
14,test,108,"[59, 75): 'Haitham Haddadin'",PER,Tag,,ORG,,PER,Byline of article,,,
14,test,119,"[246, 253): 'Chicago'",ORG,None,,,,,,,,
14,test,136,"[647, 657): 'Treasuries'",ORG,None,,MISC,,,Treasury bonds,,,
14,test,137,"[313, 324): 'Bonny Light'",PER,None,,MISC,,,Grade of crude oil,,,
14,test,149,"[902, 909): 'Western'",MISC,Missing,,,"[902, 909): 'Western'",MISC,,,,
14,test,152,"[61, 67): 'MANTUA'",LOC,Missing,,,"[61, 67): 'MANTUA'",LOC,Dateline of article,,,
14,test,152,"[321, 327): 'Mantua'",LOC,Missing,,,"[321, 327): 'Mantua'",LOC,,,,
14,test,168,"[1346, 1361): 'Canberra Bureau'",ORG,Both,"[1346, 1354): 'Canberra'",LOC,"[1346, 1361): 'Canberra Bureau'",ORG,,,,
14,test,180,"[350, 361): 'Johor Bahru'",PER,None,,,,,City in Malaysia,,,
14,test,185,"[333, 342): 'World Cup'",MISC,None,,,,,"[328, 342): '1993 World Cup'",,,
14,test,186,"[2301, 2304): 'Cup'",MISC,None,,,,,"[2292, 2304): 'Nation's Cup'",,,
14,test,192,"[225, 230): 'Italy'",LOC,None,,,,,"[225, 232): 'Italy I'/ORG (bobsled team)",,,
14,test,192,"[295, 301): 'Canada'",LOC,None,,,,,"[295, 303): 'Canada I'/ORG",,,
14,test,192,"[364, 370): 'German'",MISC,None,,,,,"[364, 372): 'German I'/ORG",,,
14,test,192,"[639, 646): 'Austria'",LOC,None,,,,,"[639, 648): 'Austria I'/ORG",,,
14,test,192,"[708, 715): 'Britain'",LOC,None,,,,,"[708, 717): 'Britain I'/ORG",,,
14,test,229,"[703, 717): 'Sporting Gijon'",ORG,Span,"[703, 711): 'Sporting'",,"[703, 717): 'Sporting Gijon'",ORG,,,,
14,test,230,"[1346, 1355): 'World Cup'",MISC,None,,,,,"[1341, 1355): '1966 World Cup'",,6/8/20 18:09,1:18
13,dev,7,"[116, 123): 'Roberto'",PER,None,,,,,"[116, 148): 'Roberto "" Hands of Stone "" Duran'",6/8/20 19:04,,
13,dev,14,"[1625, 1635): 'Washington'",LOC,None,,PER,,,,,,
13,dev,38,"[735, 738): 'PMI'",ORG,None,,,,,Ambiguous - [Chicago] Purchasing Managers Index,,,
13,dev,38,"[1011, 1016): 'MATIF'",ORG,Missing,,,"[1011, 1016): 'MATIF'",ORG,March  Terme International de France,,,
13,dev,68,"[1177, 1187): 'Commission'",ORG,None,,,,,"[1177, 1211): 'Commission on Presidential Debates'",,,
13,dev,78,"[11, 14): 'IPO'",ORG,None,,,,,,,,
13,dev,84,"[117, 120): 'Dow'",MISC,None,,,,,"[114, 120): 'NY Dow'/MISC",,,
13,dev,89,"[1042, 1050): 'Armenian'",MISC,Missing,,,"[1042, 1050): 'Armenian'",MISC,,,,
13,dev,118,"[1167, 1178): 'Northampton'",LOC,None,,,,,Rugby team,,,
13,dev,123,"[949, 954): 'Leeds'",ORG,None,,,,,,,,
13,dev,124,"[597, 608): 'Al Unser Jr'",PER,Span,"[597, 605): 'Al Unser'",,"[597, 608): 'Al Unser Jr'",PER,,,,
13,dev,150,"[1872, 1883): 'Los Angeles'",LOC,None,,ORG,,,LA Dodgers,,,
13,dev,150,"[2057, 2064): 'Atlanta'",LOC,None,,,,,Atlanta Braves,,,
13,dev,166,"[50, 59): 'WORLD CUP'",MISC,None,,,,,"[45, 59): '1998 WORLD CUP'",,,
13,dev,170,"[1987, 1991): 'Anne'",PER,None,,,,,"[1987, 2010): 'Anne of a Thousand Days'",,,
13,dev,184,"[789, 795): 'Granma'",PER,None,,ORG,,,Cuban newspaper,,,
13,dev,187,"[358, 370): 'Human Rights'",ORG,None,,,,,"[358, 379): 'Human Rights in China'",,,
,dev,191,"[660, 670): 'Korean War'",,Span,"[660, 666): 'Korean'",MISC,"[660, 670): 'Korean War'",MISC,,,,
13,dev,191,"[1031, 1041): 'Korean War'",MISC,Span,"[1031, 1037): 'Korean'",,"[1031, 1041): 'Korean War'",MISC,,,6/8/20 19:21,0:17
13,dev,192,"[164, 176): 'Human Rights'",ORG,None,,,,,"[164, 185): 'Human Rights in China'",6/11/20 14:17,,
13,dev,192,"[634, 653): 'Cultural Revolution'",MISC,None,,,,,"[626, 653): '1966-76 Cultural Revolution'",,,
13,dev,193,"[162, 174): 'Human Rights'",ORG,None,,,,,"[162, 183): 'Human Rights in China'",,,
13,dev,214,"[75, 81): 'VENICE'",LOC,Missing,,,"[75, 81): 'VENICE'",LOC,,,,
13,test,19,"[1107, 1111): 'Tour'",MISC,None,,,,,,,,
13,test,25,"[1996, 1999): 'NFC'",ORG,None,,,,,Conferences/divisions of leagues not considered entities,,,
13,test,25,"[194, 197): 'AFC'",ORG,None,,,,,Conferences/divisions of leagues not considered entities,,,
,test,26,,,Wrong,"[236, 244): 'ATLANTIC'",LOC,,,Conferences/divisions of leagues not considered entities,,,
13,test,26,"[419, 435): 'CENTRAL DIVISION'",MISC,None,,,,,Conferences/divisions of leagues not considered entities,,,
,test,26,,,Wrong,"[822, 829): 'PACIFIC'",LOC,,MISC,Conferences/divisions of leagues not considered entities,,,
,test,26,,,Tag,"[1042, 1048): 'BOSTON'",LOC,,ORG,Boston basketball team,,,
,test,26,,,Tag,"[1062, 1069): 'DETROIT'",LOC,,ORG,Detroit basketball team,,,
,test,26,,,Tag,"[1082, 1087): 'MIAMI'",LOC,,ORG,Miami basketball team,,,
,test,26,,,Tag,"[1099, 1109): 'SACRAMENTO'",LOC,,ORG,Basketball Team,,,
,test,26,,,Tag,"[1123, 1134): 'SAN ANTONIO'",LOC,,ORG,Basketball Team,,,
,test,26,,,Tag,"[1148, 1152): 'UTAH'",LOC,,ORG,Basketball Team,,,
,test,26,,,Tag,"[1166, 1174): 'PORTLAND'",LOC,,ORG,Basketball Team,,,
,test,26,,,Tag,"[1186, 1198): 'GOLDEN STATE'",LOC,,ORG,Basketball Team,,,
,test,26,,,Tag,"[1210, 1219): 'LA LAKERS'",LOC,,ORG,Basketball Team,,,
13,test,33,"[151, 159): 'Starbuck'",PER,Missing,,,"[151, 159): 'Starbuck'",PER,,,,
13,test,36,"[385, 391): 'Dundee'",PER,Tag,,ORG,,PER,Soccer player,,,
13,test,54,"[1717, 1723): 'Okocim'",LOC,None,,,,,,,,
13,test,61,"[79, 92): 'Mediterranean'",MISC,Missing,,,"[79, 92): 'Mediterranean'",MISC,,,,
13,test,68,"[404, 413): 'Vancouver'",ORG,None,,,,,Port of Vancouver,,,
13,test,87,"[50, 54): 'Pope'",PER,None,,,,,"References to persons by title are not considered ""person"" entities",,,
13,test,87,"[394, 398): 'Pope'",PER,None,,,,,"References to persons by title are not considered ""person"" entities",,,
13,test,101,"[1930, 1934): 'Pope'",PER,None,,,,,"References to persons by title are not considered ""person"" entities",,,
13,test,131,"[449, 454): 'Babri'",LOC,Missing,,,"[449, 454): 'Babri'",LOC,"""Babri mosque""",,,
13,test,137,"[356, 361): 'Dubai'",LOC,None,,MISC,,,Reference to Dubai oil from UAE,,,
13,test,178,"[1890, 1894): 'GATT'",ORG,None,,MISC,,,,,,
13,test,178,"[2272, 2276): 'West'",LOC,Missing,,,"[2272, 2276): 'West'",LOC,"""the West""",,,
13,test,186,"[1275, 1291): 'Florence Masnada'",PER,Both,"[1284, 1291): 'Masnada'",,"[1275, 1291): 'Florence Masnada'",PER,Florence Masnada's first name erroneously tagged as LOC,,,
13,test,190,"[520, 526): 'Canada'",LOC,None,"[520, 528): 'Canada I'",,,,,,,
13,test,204,"[694, 709): 'New South Wales'",LOC,None,,ORG,,,,,,
13,test,205,"[627, 636): 'Wimbledon'",ORG,Tag,,LOC,,ORG,,,,
13,test,221,"[145, 155): 'New Jersey'",LOC,None,,ORG,,,,,,
13,test,222,"[670, 686): 'CENTRAL DIVISION'",MISC,None,,,,,Conferences/divisions of leagues not considered entities,,,
13,test,223,"[277, 285): 'EDMONTON'",ORG,Tag,,LOC,,,,,,
13,test,224,"[406, 415): 'Vancouver'",LOC,None,,ORG,,,Vancouver hockey team,,6/11/20 15:38,1:21
12,dev,14,"[452, 459): 'Stadium'",LOC,None,,,,,Ambiguous; may actually refer to a specific stadium,6/11/20 16:33,,
12,dev,14,"[1694, 1704): 'Washington'",LOC,None,,PER,,,,,,
12,dev,14,"[1929, 1939): 'Washington'",LOC,None,,PER,,,,,,
12,dev,32,"[245, 250): 'Jones'",PER,None,"[11, 24): 'Jones Medical'",ORG,,,,,,
12,dev,35,"[554, 561): 'Markham'",PER,None,,ORG,,,,,,
12,dev,38,"[150, 155): 'Bunds'",MISC,None,,,,,"""Bonds"", misspelled",,,
12,dev,38,"[1910, 1918): 'Japanese'",MISC,None,"[1910, 1934): 'Japanese Goverment Bonds'",,,,,,,
12,dev,41,"[243, 249): 'Little'",PER,None,,,,,,,,
12,dev,47,"[106, 122): 'Aerodrom Beograd'",ORG,None,,,,,Airport in Belgrade,,,
12,dev,81,"[358, 364): 'Hebrew'",LOC,None,,,,,,,,
12,dev,82,"[76, 84): 'NYC Time'",MISC,None,"[76, 79): 'NYC'",,,,,,,
12,dev,82,"[484, 501): 'Longely & Dahling'",ORG,None,"[476, 501): 'Bodman, Longely & Dahling'",,,,,,,
12,dev,112,"[2484, 2491): 'Seattle'",LOC,None,,ORG,,,,,,
12,dev,124,"[565, 585): 'Penske Mercedes-Benz'",PER,None,,ORG,,,,,,
12,dev,124,"[617, 637): 'Penske Mercedes-Benz'",PER,None,,ORG,,,,,,
12,dev,130,"[157, 165): 'Proleter'",ORG,None,"[157, 169): 'Proleter (Z)'",ORG,,,,,,
,dev,130,,,Span,"[180, 183): 'Rad'",ORG,"[180, 187): 'Rad (B)'",,,,,
12,dev,132,"[93, 107): 'Trofej Beograd'",ORG,None,"[93, 110): 'Trofej Beograd 96'",,,,,,,
12,dev,141,"[1279, 1286): 'Jansher'",PER,Missing,,,"[1279, 1286): 'Jansher'",PER,,,,
12,dev,146,"[112, 119): 'Fed Cup'",MISC,None,"[107, 119): '1997 Fed Cup'",,,,,,,
12,dev,170,"[3001, 3007): 'Taylor'",PER,None,"[2972, 3007): 'Alan John Percivale (A.J.P.) Taylor'",,,,,,,
12,dev,189,"[783, 798): 'National League'",MISC,None,"[783, 812): 'National League for Democracy'",,,,,,,
12,dev,197,"[500, 507): 'Lebanon'",LOC,None,"[478, 507): 'U.N. Interim Force in Lebanon'",,,,,,,
12,dev,199,"[106, 122): 'Turkish-operated'",MISC,Missing,,,,,,,,
12,dev,200,"[1241, 1255): 'KDP-controlled'",MISC,Missing,,,,,,,,
12,dev,214,"[187, 202): 'Michael Collins'",PER,None,,MISC,,,Film named after person,,,
12,dev,214,"[678, 684): 'Jordan'",LOC,None,,PER,,,,,,
12,dev,214,"[1079, 1085): 'Jordan'",LOC,None,,PER,,,,,,
12,dev,214,"[1732, 1738): 'Jordan'",LOC,None,,PER,,,,,,
12,dev,214,"[1918, 1924): 'Jordan'",LOC,None,,PER,,,,,,
,test,4,,,Tag,"[181, 186): 'Japan'",LOC,,ORG,Soccer team,,,
,test,4,,,Tag,"[232, 237): 'Syria'",LOC,,ORG,Soccer team,,,
,test,4,,,Tag,"[276, 281): 'China'",LOC,,ORG,Soccer team,,,
12,test,4,"[284, 294): 'Uzbekistan'",ORG,Tag,,,,ORG,Soccer team,,,
,test,4,,,Tag,"[487, 492): 'Japan'",LOC,,ORG,,,,
,test,4,,,Tag,"[507, 512): 'Syria'",LOC,,ORG,,,,
12,test,9,"[618, 627): 'Ljubljana'",LOC,None,,ORG,,,,,,
12,test,9,"[804, 814): 'Pau-Orthez'",PER,None,,ORG,,,,,,
12,test,25,"[1748, 1760): 'Philadelphia'",ORG,Tag,,LOC,,ORG,,,,
12,test,25,"[1074, 1077): 'NFC'",ORG,None,,,,MISC,Conferences/divisions of leagues not considered entities,,,
12,test,39,"[521, 544): 'Real Madrid Real Madrid'",ORG,None,,,,,,,,
12,test,39,"[572, 593): 'Real Madrid Barcelona'",ORG,None,,,,,,,,
12,test,39,"[654, 675): 'Barcelona Real Madrid'",ORG,None,,,,,,,,
12,test,39,"[700, 719): 'Barcelona Barcelona'",ORG,None,,,,,,,,
12,test,39,"[747, 768): 'Real Madrid Barcelona'",ORG,None,,,,,,,,
12,test,45,"[1361, 1366): 'Czech'",MISC,Tag,,LOC,,MISC,,,,
12,test,46,"[215, 224): 'Charleroi'",LOC,None,,ORG,,,,,,
12,test,48,"[115, 137): 'Mahindra International'",ORG,None,,MISC,,,Squash tournament,,,
12,test,53,"[1020, 1031): 'Nazi German'",MISC,None,,,,,"[1020, 1024): 'Nazi' and [1025, 1031): 'German'",,,
12,test,54,"[2499, 2504): 'Czech'",MISC,Tag,,LOC,"[2499, 2504): 'Czech'",MISC,,,,
12,test,67,"[740, 748): 'Manitoba'",LOC,None,,ORG,,,Government of Manitoba,,,
12,test,68,"[48, 51): 'CWB'",ORG,Missing,,,"[48, 51): 'CWB'",ORG,Canadian Wheat Board,,,
,test,68,,,Missing,,,"[20, 30): ' West Coast'",LOC,abstract ``places'' (e.g. {\it the free world}),,,
,test,68,,,Missing,,,"[166, 176): 'West Coast'",LOC,abstract ``places'' (e.g. {\it the free world}),,,
12,test,68,"[335, 345): 'East Coast'",LOC,Missing,,,"[335, 345): 'East Coast'",LOC,abstract ``places'' (e.g. {\it the free world}),,,
12,test,88,"[1628, 1637): 'Far North'",LOC,Missing,,,"[1628, 1637): 'Far North'",LOC,abstract ``places'' (e.g. {\it the free world}),,,
12,test,95,"[247, 252): 'Jones'",PER,None,,MISC,,,Dow (Jones industrial average),,,
12,test,96,"[522, 545): 'Plastic Surgery Society'",ORG,None,"[512, 545): 'Brazilian Plastic Surgery Society'",,,,,,,
12,test,98,"[477, 483): 'Mexico'",LOC,None,"[469, 483): 'Gulf of Mexico'",,,,,,,
12,test,103,"[210, 220): 'University'",ORG,None,"[193, 220): 'Ranyon (Rangoon) University'",,,,,,,
12,test,114,"[554, 560): 'Choice'",ORG,None,,,,,,,,
12,test,118,"[127, 155): 'St. Louis Merchants Exchange'",ORG,Both,"[127, 136): 'St. Louis'",LOC,"[127, 155): 'St. Louis Merchants Exchange'",ORG,"A building in St. Louis. However it is also a company, and we believe that in this case it is the company being referred to ",,,
12,test,137,"[269, 282): 'Saharan Blend'",PER,None,,MISC,,,,,,
12,test,152,"[463, 469): 'League'",MISC,None,,ORG,,,,,,
12,test,161,"[11, 21): 'John Lewis'",PER,Span,"[11, 24): 'John Lewis UK'",ORG,"[11, 21): 'John Lewis'",ORG,John Lewis Partnership is a company that owns some stores in the UK,,,
12,test,161,"[322, 330): 'Waitrose'",MISC,None,,ORG,,,,,,
12,test,167,"[83, 94): 'New Zealand'",LOC,None,"[83, 100): 'New Zealand First'",,,,,,,
12,test,170,"[461, 470): 'Myos Yang'",ORG,None,,,,,Cargo ship,,,
12,test,173,"[278, 289): 'Port Office'",ORG,Missing,,,"[278, 289): 'Port Office'",ORG,ministries,,,
12,test,176,"[906, 921): 'Energy Ministry'",ORG,None,"[885, 921): 'Indonesian Mines and Energy Ministry'",,,,ministries,,,
12,test,176,"[2024, 2032): 'Ministry'",ORG,Missing,,,,,,,,
12,test,193,"[1412, 1430): 'India-South Africa'",LOC,None,"[1412, 1430): 'India-South Africa'",MISC,,,,,,
12,test,208,"[597, 606): 'Wimbledon'",MISC,None,,ORG,,,Soccer team,,,
,test,219,,,Tag,"[165, 168): 'UAE'",LOC,,ORG,Soccer team,,,
,test,219,,,Tag,"[223, 229): 'Kuwait'",LOC,,ORG,Soccer team,,,
,test,219,,,Tag,"[274, 285): 'South Korea'",LOC,,ORG,Soccer team,,,
,test,219,,,Tag,"[315, 326): 'South Korea'",LOC,,ORG,Soccer team,,,
,test,219,,,Tag,"[385, 394): 'Indonesia'",LOC,,ORG,Soccer team,,,
,test,219,,,Tag,"[536, 547): 'South Korea'",LOC,,ORG,Soccer team,,,
12,test,219,"[562, 565): 'UAE'",ORG,Tag,,LOC,,ORG,Soccer team,,,
12,test,221,"[324, 331): 'Indiana'",LOC,None,,ORG,,,,,,
12,test,221,"[364, 371): 'Orlando'",PER,None,,ORG,,,,,,
12,test,223,"[246, 252): 'DALLAS'",ORG,Tag,,LOC,,ORG,Hockey team,,6/11/20 17:32,0:59
11,dev,2,"[1160, 1164): 'Lord'",LOC,None,"[1160, 1166): 'Lord's'",LOC,,,,6/12/20 10:00,,
11,dev,14,"[882, 892): 'Washington'",LOC,None,,PER,,,,,,
11,dev,14,"[1181, 1191): 'Washington'",LOC,None,,PER,,,,,,
11,dev,15,"[492, 504): 'Philadelphia'",LOC,None,,ORG,,,,,,
11,dev,24,"[306, 311): 'Sport'",ORG,None,"[291, 311): 'Gazzetta dello Sport'",,,,,,,
11,dev,24,"[884, 890): 'Torino'",LOC,None,,ORG,,,,,,
11,dev,60,"[234, 239): 'Green'",PER,None,,,,,,,,
