,doc_offset,corpus_span,correct_span
27,58.0,"[648, 652): 'Greg'","[648, 661): 'Greg Chalmers'"
28,58.0,"[653, 661): 'Chalmers'","[648, 661): 'Greg Chalmers'"
29,58.0,"[751, 758): 'Derrick'","[751, 765): 'Derrick Cooper'"
30,58.0,"[759, 765): 'Cooper'","[751, 765): 'Derrick Cooper'"
31,58.0,"[816, 823): 'Michael'","[816, 829): 'Michael Welch'"
32,58.0,"[824, 829): 'Welch'","[816, 829): 'Michael Welch'"
33,136.0,"[1022, 1027): 'Wasim'","[1022, 1033): 'Wasim Akram'"
34,136.0,"[1028, 1033): 'Akram'","[1022, 1033): 'Wasim Akram'"
35,136.0,"[169, 172): 'The'","[169, 177): 'The Oval'"
36,136.0,"[173, 177): 'Oval'","[169, 177): 'The Oval'"
37,140.0,"[560, 565): 'Czech'","[560, 574): 'Czech Republic'"
38,140.0,"[566, 574): 'Republic'","[560, 574): 'Czech Republic'"
39,142.0,"[95, 104): 'Malaysian'","[95, 109): 'Malaysian Open'"
40,142.0,"[105, 109): 'Open'","[95, 109): 'Malaysian Open'"
41,145.0,"[83, 95): 'Major League'","[83, 104): 'Major League Baseball'"
42,158.0,"[676, 683): 'Michael'","[676, 690): 'Michael Jonzon'"
43,158.0,"[684, 690): 'Jonzon'","[676, 690): 'Michael Jonzon'"
44,158.0,"[831, 836): 'Wayne'","[831, 842): 'Wayne Riley'"
45,158.0,"[837, 842): 'Riley'","[831, 842): 'Wayne Riley'"
46,158.0,"[998, 1001): 'Des'","[998, 1007): 'Des Smyth'"
47,158.0,"[1002, 1007): 'Smyth'","[998, 1007): 'Des Smyth'"
48,249.0,"[247, 252): 'Waqar'","[247, 259): 'Waqar Younis'"
49,249.0,"[253, 259): 'Younis'","[247, 259): 'Waqar Younis'"
50,263.0,"[81, 93): 'Major League'","[81, 102): 'Major League Baseball'"
51,309.0,"[543, 547): 'Mark'","[543, 554): 'Mark Brooks'"
52,309.0,"[548, 554): 'Brooks'","[543, 554): 'Mark Brooks'"
53,309.0,"[656, 660): 'Mark'","[656, 668): 'Mark O'Meara'"
54,309.0,"[661, 668): 'O'Meara'","[656, 668): 'Mark O'Meara'"
55,309.0,"[787, 791): 'Fred'","[787, 799): 'Fred Couples'"
56,309.0,"[792, 799): 'Couples'","[787, 799): 'Fred Couples'"
57,310.0,"[221, 226): 'Czech'","[221, 235): 'Czech Republic'"
58,310.0,"[227, 235): 'Republic'","[221, 235): 'Czech Republic'"
59,310.0,"[93, 96): 'Cup'","[86, 96): 'Hamlet Cup'"
60,315.0,"[1175, 1178): 'GT2'","[1175, 1191): 'GT2 Marcos LM600'"
61,315.0,"[1179, 1195): 'Marcos LM600 162'","[1175, 1191): 'GT2 Marcos LM600'"
62,315.0,"[864, 868): 'Paul'","[864, 877): 'Paul Belmondo'"
63,315.0,"[869, 877): 'Belmondo'","[864, 877): 'Paul Belmondo'"
64,319.0,"[156, 167): '1,000 Lakes'","[156, 173): '1,000 Lakes Rally'"
65,319.0,"[168, 173): 'Rally'","[156, 173): '1,000 Lakes Rally'"
66,328.0,"[246, 251): 'Waqar'","[246, 258): 'Waqar Younis'"
67,328.0,"[252, 258): 'Younis'","[246, 258): 'Waqar Younis'"
68,339.0,"[546, 553): 'Mariusz'","[546, 560): 'Mariusz Srutwa'"
69,339.0,"[554, 560): 'Srutwa'","[546, 560): 'Mariusz Srutwa'"
70,345.0,"[536, 541): 'Chong'","[536, 550): 'Chong Tan Fook'"
71,345.0,"[542, 550): 'Tan Fook'","[536, 550): 'Chong Tan Fook'"
72,347.0,"[81, 93): 'Major League'","[81, 102): 'Major League Baseball'"
73,351.0,"[83, 95): 'Major League'","[83, 104): 'Major League Baseball'"
74,366.0,"[663, 666): 'RKC'","[663, 675): 'RKC Waalwijk'"
75,366.0,"[667, 675): 'Waalwijk'","[663, 675): 'RKC Waalwijk'"
76,402.0,"[121, 126): '1,000'","[121, 138): '1,000 Lakes Rally'"
77,402.0,"[127, 138): 'Lakes Rally'","[121, 138): '1,000 Lakes Rally'"
78,412.0,"[244, 249): 'Waqar'","[244, 256): 'Waqar Younis'"
79,412.0,"[250, 256): 'Younis'","[244, 256): 'Waqar Younis'"
80,415.0,"[1144, 1152): 'Greenock'","[1144, 1159): 'Greenock Morton'"
81,415.0,"[1153, 1159): 'Morton'","[1144, 1159): 'Greenock Morton'"
82,415.0,"[1286, 1298): 'Queen of the'","[1286, 1304): 'Queen of the South'"
83,415.0,"[1299, 1304): 'South'","[1286, 1304): 'Queen of the South'"
84,444.0,"[109, 121): 'Singer World'","[109, 128): 'Singer World Series'"
85,444.0,"[122, 128): 'Series'","[109, 128): 'Singer World Series'"
86,523.0,"[595, 602): 'Bristol'","[595, 609): 'Bristol Rovers'"
87,523.0,"[603, 609): 'Rovers'","[595, 609): 'Bristol Rovers'"
88,527.0,"[103, 107): 'Hong'","[103, 117): 'Hong Kong Open'"
89,527.0,"[108, 117): 'Kong Open'","[103, 117): 'Hong Kong Open'"
90,529.0,"[2369, 2374): 'Czech'","[2369, 2383): 'Czech Republic'"
91,529.0,"[2375, 2383): 'Republic'","[2369, 2383): 'Czech Republic'"
92,529.0,"[2424, 2430): 'Sandra'","[2424, 2439): 'Sandra Kleinova'"
93,529.0,"[2431, 2439): 'Kleinova'","[2424, 2439): 'Sandra Kleinova'"
94,590.0,"[78, 99): 'Robert W. Baird & Co.'","[78, 106): 'Robert W. Baird & Co. , Inc.'"
95,590.0,"[100, 106): ', Inc.'","[78, 106): 'Robert W. Baird & Co. , Inc.'"
96,637.0,"[1043, 1047): 'Mike'","[1043, 1055): 'Mike Harwood'"
97,637.0,"[1048, 1055): 'Harwood'","[1043, 1055): 'Mike Harwood'"
98,637.0,"[1100, 1105): 'Peter'","[1100, 1116): 'Peter Teravainen'"
99,637.0,"[1106, 1116): 'Teravainen'","[1100, 1116): 'Peter Teravainen'"
100,637.0,"[785, 793): 'Chistian'","[785, 800): 'Chistian Cevaer'"
101,637.0,"[794, 800): 'Cevaer'","[785, 800): 'Chistian Cevaer'"
102,657.0,"[98, 102): 'Hong'","[98, 112): 'Hong Kong Open'"
103,657.0,"[103, 112): 'Kong Open'","[98, 112): 'Hong Kong Open'"
104,664.0,"[82, 94): 'Major League'","[82, 103): 'Major League Baseball'"
105,676.0,"[191, 198): 'Miladin'","[191, 208): 'Miladin Becanovic'"
106,676.0,"[199, 208): 'Becanovic'","[191, 208): 'Miladin Becanovic'"
107,676.0,"[372, 376): 'Enzo'","[372, 382): 'Enzo Scifo'"
108,676.0,"[377, 382): 'Scifo'","[372, 382): 'Enzo Scifo'"
109,678.0,"[316, 322): 'Gerard'","[316, 333): 'Gerard de Nooijer'"
110,678.0,"[323, 333): 'de Nooijer'","[316, 333): 'Gerard de Nooijer'"
111,678.0,"[562, 572): 'Graafschap'","[562, 583): 'Graafschap Doetinchem'"
112,678.0,"[573, 583): 'Doetinchem'","[562, 583): 'Graafschap Doetinchem'"
113,686.0,"[890, 896): 'Hashan'","[890, 909): 'Hashan Tillekeratne'"
114,686.0,"[897, 909): 'Tillekeratne'","[890, 909): 'Hashan Tillekeratne'"
115,686.0,"[94, 100): 'Singer'","[94, 113): 'Singer World Series'"
116,686.0,"[101, 113): 'World Series'","[94, 113): 'Singer World Series'"
117,738.0,"[585, 601): 'Shabwa Block No.'","[585, 605): 'Shabwa Block No. S-1'"
118,738.0,"[602, 605): 'S-1'","[585, 605): 'Shabwa Block No. S-1'"
119,800.0,"[1103, 1107): 'Paul'","[1103, 1115): 'Paul Affleck'"
120,800.0,"[1108, 1115): 'Affleck'","[1103, 1115): 'Paul Affleck'"
121,800.0,"[478, 482): 'Mark'","[478, 488): 'Mark Davis'"
122,800.0,"[483, 488): 'Davis'","[478, 488): 'Mark Davis'"
123,800.0,"[552, 558): 'Retief'","[552, 565): 'Retief Goosen'"
124,800.0,"[559, 565): 'Goosen'","[552, 565): 'Retief Goosen'"
125,800.0,"[831, 834): 'Ian'","[831, 842): 'Ian Woosnam'"
126,800.0,"[835, 842): 'Woosnam'","[831, 842): 'Ian Woosnam'"
127,800.0,"[886, 890): 'Klas'","[886, 899): 'Klas Eriksson'"
128,800.0,"[891, 899): 'Eriksson'","[886, 899): 'Klas Eriksson'"
129,800.0,"[986, 992): 'Andrew'","[986, 1000): 'Andrew Coltart'"
130,800.0,"[993, 1000): 'Coltart'","[986, 1000): 'Andrew Coltart'"
131,803.0,"[786, 793): 'Lampros'","[786, 806): 'Lampros Vasilopoulos'"
132,803.0,"[794, 806): 'Vasilopoulos'","[786, 806): 'Lampros Vasilopoulos'"
133,819.0,"[84, 96): 'Major League'","[84, 105): 'Major League Baseball'"
134,930.0,"[698, 705): 'CDU No.'","[698, 707): 'CDU No. 3'"
135,930.0,"[706, 707): '3'","[698, 707): 'CDU No. 3'"
136,937.0,"[1626, 1648): 'Goldman, Sachs and Co.'","[1626, 1652): 'Goldman, Sachs and Co. Inc'"
137,937.0,"[1649, 1652): 'Inc'","[1626, 1652): 'Goldman, Sachs and Co. Inc'"
138,944.0,"[1030, 1035): 'South'","[1030, 1042): 'South Africa'"
139,944.0,"[1036, 1042): 'Africa'","[1030, 1042): 'South Africa'"
140,944.0,"[415, 420): 'South'","[415, 427): 'South Africa'"
141,944.0,"[421, 427): 'Africa'","[415, 427): 'South Africa'"
142,315.0,"[787, 802): 'Gulf McLaren F!'","[28, 31): 'AFL'"
143,315.0,"[803, 806): 'GTR'","[11, 21): 'AUSTRALIAN'"
