num_models,fold,doc_offset,corpus_span,corpus_ent_type,error_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
1,train,36,"[107, 114): 'English'",MISC,Span,"[107, 134): 'English County Championship'",MISC,"[20, 47): 'ENGLISH COUNTY CHAMPIONSHIP' labeled as a single entity in the title",,,
1,train,36,"[115, 134): 'County Championship'",MISC,Span,"[107, 134): 'English County Championship'",MISC,"[20, 47): 'ENGLISH COUNTY CHAMPIONSHIP' labeled as a single entity in the title",,,
0,train,37,"[837, 841): 'Moin'",PER,Sentence,"[837, 846): 'Moin Khan'",,,,,
0,train,37,"[842, 846): 'Khan'",PER,Sentence,"[837, 846): 'Moin Khan'",,,,,
5,train,38,"[87, 94): 'Everton'",ORG,None,,,,,,
0,train,40,"[55, 72): 'MANCHESTER UNITED'",LOC,Tag,,ORG,,,,
0,train,41,"[364, 369): 'Czech'",LOC,Sentence,"[364, 378): 'Czech Republic'",,,,,
0,train,41,"[370, 378): 'Republic'",LOC,Sentence,"[364, 378): 'Czech Republic'",,,,,
2,train,42,"[20, 26): 'MILLNS'",PER,None,,,,,,
1,train,42,"[200, 206): 'Millns'",MISC,Tag,,PER,David Millns,,,
,train,42,"[234, 241): 'England'",LOC,Both,"[234, 243): 'England A'",ORG,https://en.wikipedia.org/wiki/England_Lions_cricket_team,,,
0,train,43,"[107, 110): 'Cup'",MISC,Sentence,"[84, 110): 'European Cup Winners ' Cup'",MISC,Sentence boundary before 'Cup',,,
0,train,43,"[2104, 2110): 'Dynamo'",ORG,Sentence,"[2104, 2117): 'Dynamo Batumi'",ORG,,,,
0,train,43,"[2111, 2117): 'Batumi'",ORG,Sentence,"[2104, 2117): 'Dynamo Batumi'",ORG,,,,
0,train,43,"[2364, 2368): 'Petr'",PER,Sentence,"[2364, 2376): 'Petr Gabriel'",PER,,,,
0,train,43,"[2369, 2376): 'Gabriel'",PER,Sentence,"[2364, 2376): 'Petr Gabriel'",PER,,,,
1,train,43,"[2536, 2551): 'Vinko Marinovic'",MISC,Tag,,PER,Soccer player,,,
0,train,43,"[2668, 2681): 'Constructorul'",ORG,Sentence,"[2668, 2690): 'Constructorul Chisinau'",ORG,,,,
0,train,43,"[2682, 2690): 'Chisinau'",ORG,Sentence,"[2668, 2690): 'Constructorul Chisinau'",ORG,,,,
1,train,43,"[2765, 2777): 'Anjalonkoski'",MISC,Tag,,LOC,"""In Anjalonkoski:""",,,
0,train,43,"[84, 106): 'European Cup Winners ''",MISC,Sentence,"[84, 110): 'European Cup Winners ' Cup'",MISC,Sentence boundary before 'Cup',,,
5,train,46,"[40, 49): 'DAVIS CUP'",MISC,None,,,,,,
1,train,47,"[223, 228): 'Hwang'",PER,Span,"[223, 235): 'Hwang Sun-ho'",PER,,,,
1,train,47,"[229, 235): 'Sun-ho'",MISC,Both,"[223, 235): 'Hwang Sun-ho'",PER,,,,
1,train,47,"[85, 94): 'Malaysian'",MISC,Sentence,"[85, 99): 'Malaysian Open'",MISC,,,,
1,train,47,"[95, 99): 'Open'",MISC,Sentence,"[85, 99): 'Malaysian Open'",MISC,,,,
0,train,48,"[1033, 1051): 'Yevgeny Kafelnikov'",PER,None,,,,,,
4,train,48,"[1454, 1469): 'Bohdan Ulihrach'",PER,None,,,,,,
0,train,48,"[157, 160): 'U.S'",LOC,Sentence,"[157, 184): 'U.S. National Tennis Centre'",LOC,,,,
0,train,48,"[162, 184): 'National Tennis Centre'",LOC,Sentence,"[157, 184): 'U.S. National Tennis Centre'",LOC,,,,
0,train,48,"[885, 899): 'Sjeng Schalken'",PER,None,,,,,,
1,train,49,"[39, 52): 'DAVEY JOHNSON'",PER,None,,,,,,
,train,50,"[1086, 1102): 'WESTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities,,,
,train,50,"[1249, 1257): 'COLORADO'",LOC,Tag,,ORG,Baseball team,,,
,train,50,"[1272, 1279): 'ATLANTA'",LOC,Tag,,ORG,Baseball team,,,
4,train,50,"[1294, 1301): 'HOUSTON'",LOC,Tag,,ORG,Baseball team,,,
4,train,50,"[1302, 1314): 'PHILADELPHIA'",ORG,None,,,,,,
3,train,50,"[1318, 1329): 'LOS ANGELES'",LOC,Tag,,ORG,Baseball team,,,
1,train,50,"[1330, 1338): 'MONTREAL'",ORG,None,,,,,,
,train,50,"[1342, 1355): 'SAN FRANCISCO'",LOC,Tag,,ORG,Baseball team,,,
,train,50,"[234, 250): 'EASTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities,,,
,train,50,"[375, 391): 'CENTRAL DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities,,,
,train,50,"[525, 541): 'WESTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities,,,
5,train,50,"[690, 699): 'BALTIMORE'",LOC,Tag,,ORG,,,,
5,train,50,"[700, 710): 'CALIFORNIA'",ORG,None,,,,,,
,train,50,"[714, 722): 'NEW YORK'",LOC,Tag,,ORG,Baseball team,,,
,train,50,"[734, 741): 'CHICAGO'",LOC,Tag,,ORG,Baseball team,,,
,train,50,"[753, 764): 'KANSAS CITY'",LOC,Tag,,ORG,Baseball team,,,
3,train,50,"[774, 783): 'MINNESOTA'",LOC,Tag,,ORG,Baseball team,,,
3,train,50,"[784, 799): 'NATIONAL LEAGUE'",MISC,None,,,,,,
,train,50,"[800, 816): 'EASTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities,,,
2,train,50,"[89, 110): 'Major League Baseball'",MISC,None,,,,,,
,train,50,"[947, 963): 'CENTRAL DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities,,,
1,train,51,"[153, 168): 'American League'",MISC,None,,,,,,
1,train,51,"[169, 179): 'California'",ORG,None,,,,,,
0,train,51,"[84, 96): 'Major League'",MISC,Sentence,"[84, 105): 'Major League Baseball'",MISC,,,,
,train,52,"[2016, 2019): 'RBI'",MISC,Wrong,,,Runs batted in,,,
1,train,52,"[2054, 2063): 'Baltimore'",LOC,Tag,,ORG,"""Baltimore has won seven of nineÉ""",,,
,train,52,"[2264, 2267): 'RBI'",MISC,Wrong,,,Runs batted in,,,
,train,52,"[3472, 3475): 'RBI'",MISC,Wrong,,,Runs batted in,,,
,train,52,"[4026, 4029): 'ERA'",MISC,Wrong,,,Earned run average,,,
5,train,52,"[4026, 4029): 'ERA'",MISC,Wrong,,,Earned run average,,,
,train,52,"[4230, 4233): 'ERA'",MISC,Wrong,,,Earned run average,,,
5,train,52,"[4230, 4233): 'ERA'",MISC,Wrong,,,Earned run average,,,
,train,52,"[4411, 4414): 'RBI'",MISC,Wrong,,,Runs batted in,,,
,train,52,"[4448, 4451): 'RBI'",MISC,Wrong,,,Runs batted in,,,
4,train,52,"[47, 52): 'TEXAS'",ORG,None,,,,,,
1,train,52,"[58, 65): 'INDIANS'",ORG,None,,,,,,
,train,56,"[829, 838): 'Stuttgart'",LOC,Tag,,ORG,Soccer team,,,
3,train,56,"[859, 867): 'Lausanne'",LOC,Tag,,ORG,Soccer team,,,
0,train,58,"[1090, 1095): 'Jamie'",PER,Sentence,"[1090, 1102): 'Jamie Spence'",PER,,,,
0,train,58,"[1096, 1102): 'Spence'",PER,Sentence,"[1090, 1102): 'Jamie Spence'",PER,,,,
1,train,58,"[271, 274): 'Ian'",PER,Sentence,"[271, 282): 'Ian Woosnam'",PER,,,,
1,train,58,"[275, 282): 'Woosnam'",PER,Sentence,"[271, 282): 'Ian Woosnam'",PER,,,,
0,train,58,"[327, 331): 'Mats'",PER,Sentence,"[327, 338): 'Mats Lanner'",PER,,,,
0,train,58,"[332, 338): 'Lanner'",PER,Sentence,"[327, 338): 'Mats Lanner'",PER,,,,
0,train,58,"[648, 652): 'Greg'",PER,Sentence,"[648, 661): 'Greg Chalmers'",PER,,,,
0,train,58,"[653, 661): 'Chalmers'",PER,Sentence,"[648, 661): 'Greg Chalmers'",PER,,,,
0,train,58,"[751, 758): 'Derrick'",PER,Sentence,"[751, 765): 'Derrick Cooper'",PER,,,,
0,train,58,"[759, 765): 'Cooper'",PER,Sentence,"[751, 765): 'Derrick Cooper'",PER,,,,
0,train,58,"[816, 823): 'Michael'",PER,Sentence,"[816, 829): 'Michael Welch'",PER,,,,
0,train,58,"[824, 829): 'Welch'",PER,Sentence,"[816, 829): 'Michael Welch'",PER,,,,
,train,60,"[144, 153): 'Australia'",LOC,Tag,,ORG,Cricket team,,,
,train,60,"[254, 263): 'Australia'",LOC,Tag,,ORG,Cricket team,,,
0,train,60,"[49, 60): 'AUSTRALIANS'",MISC,Tag,,ORG,Cricket team,,,
,train,60,"[613, 622): 'Australia'",LOC,Tag,,ORG,Cricket team,,,
0,train,62,"[11, 27): 'OFFICIAL JOURNAL'",ORG,None,,,,,,
,train,62,,,Missing,"[326, 328): 'OJ'",ORG,,,,
2,train,63,"[966, 985): 'U.S. District Court'",ORG,None,,,,,,
2,train,63,"[989, 1000): 'Minneapolis'",LOC,None,,,,,,
4,train,70,"[424, 432): 'Plymouth'",ORG,Tag,,LOC,,,,
3,train,71,"[342, 351): 'U.S. Open'",MISC,None,,,,,,
0,train,73,"[336, 342): 'Puchon'",ORG,None,,,,,,
2,train,75,"[47, 53): 'ECOMOG'",ORG,None,,,,,,
3,train,82,"[11, 16): 'Czech'",MISC,None,,,,,,
3,train,82,"[17, 24): 'CNB-120'",MISC,None,,,,,,
4,train,82,"[55, 61): 'PRAGUE'",LOC,None,,,,,,
3,train,89,"[88, 97): 'Argentine'",MISC,None,,,,,,
2,train,94,"[1046, 1056): 'Israel-PLO'",MISC,None,,,Ambiguous: Should this token be split?,,,
3,train,94,"[250, 261): 'Israeli-PLO'",MISC,None,,,Ambiguous: Should this token be split?,,,
2,train,94,"[737, 741): 'Said'",PER,None,,,,,,
5,train,94,"[822, 833): 'Israeli-PLO'",MISC,None,,,Ambiguous: Should this token be split?,,,
1,train,98,"[55, 68): 'Kieran Murray'",PER,None,,,,,,
1,train,98,"[69, 79): 'LAS CRUCES'",LOC,None,,,,,,
0,train,98,"[97, 110): 'Miss Universe'",MISC,Tag,,PER,,,,
,train,98,,,Missing,"[81, 85): 'N.M.'",LOC,New Mexico,,,
3,train,99,"[61, 65): 'Mich'",LOC,None,,,Ambiguous: Should period at end of dateline be part of the abbreviation?,,,
5,train,101,"[69, 76): 'HAMBURG'",LOC,None,,,,,,
2,train,103,"[535, 549): 'Roman Catholic'",MISC,None,,,,,,
5,train,105,"[167, 174): 'Paribas'",ORG,None,,,,,,
3,train,107,"[867, 883): 'Yevgeny Primakov'",PER,None,,,,,,
4,train,110,"[1151, 1158): 'Kashmir'",LOC,None,,,,,,
2,train,112,"[11, 16): 'India'",LOC,None,,,,,,
1,train,112,"[84, 105): 'Reserve bank of India'",ORG,None,,,,,,
2,train,114,"[3157, 3162): 'Hindu'",MISC,None,,,,,,
5,train,115,"[2952, 2958): 'Sydney'",LOC,None,,,,,,
5,train,119,"[51, 58): 'BANGKOK'",LOC,None,,,,,,
1,train,124,"[1130, 1138): 'New York'",LOC,None,,,,,,
5,train,124,"[1139, 1148): 'Dow Jones'",MISC,None,,,,,,
3,train,124,"[1237, 1242): 'Tokyo'",LOC,None,,,,,,
1,train,124,"[279, 285): 'London'",LOC,None,,,,,,
4,train,124,"[466, 474): 'NEW YORK'",LOC,None,,,,,,
2,train,124,"[936, 942): 'LONDON'",LOC,None,,,,,,
0,train,125,"[64, 80): 'Rostislav Khotin'",PER,None,,,,,,
5,train,129,"[613, 617): 'Oval'",LOC,None,,,,,,
0,train,130,"[166, 173): 'Belgian'",MISC,Span,"[166, 184): 'Belgian Grand Prix'",MISC,https://en.wikipedia.org/wiki/Belgian_Grand_Prix,,,
0,train,130,"[174, 184): 'Grand Prix'",MISC,Span,"[166, 184): 'Belgian Grand Prix'",MISC,https://en.wikipedia.org/wiki/Belgian_Grand_Prix,,,
0,train,130,"[25, 32): 'BELGIAN'",MISC,Span,"[25, 43): 'BELGIAN GRAND PRIX'",MISC,https://en.wikipedia.org/wiki/Belgian_Grand_Prix,,,
0,train,130,"[33, 43): 'GRAND PRIX'",MISC,Span,"[25, 43): 'BELGIAN GRAND PRIX'",MISC,https://en.wikipedia.org/wiki/Belgian_Grand_Prix,,,
4,train,135,"[20, 27): 'POLLOCK'",PER,None,,,,,,
2,train,135,"[48, 60): 'WARWICKSHIRE'",ORG,None,,,,,,
0,train,136,"[1022, 1027): 'Wasim'",PER,Sentence,"[1022, 1033): 'Wasim Akram'",PER,,,,
0,train,136,"[1028, 1033): 'Akram'",PER,Sentence,"[1022, 1033): 'Wasim Akram'",PER,,,,
0,train,136,"[169, 172): 'The'",LOC,Sentence,"[169, 177): 'The Oval'",LOC,,,,
0,train,136,"[173, 177): 'Oval'",LOC,Sentence,"[169, 177): 'The Oval'",LOC,,,,
3,train,136,"[534, 545): 'A. Mullally'",PER,None,,,,,,
0,train,136,"[863, 867): 'Cork'",PER,None,,,,,,
1,train,138,"[82, 95): 'Middlesbrough'",ORG,None,,,,,,
0,train,140,"[560, 565): 'Czech'",LOC,Sentence,"[560, 565): 'Czech Republic'",LOC,,,,
0,train,140,"[566, 574): 'Republic'",LOC,Sentence,"[560, 565): 'Czech Republic'",LOC,,,,
0,train,142,"[105, 109): 'Open'",MISC,Sentence,"[95, 109): 'Malaysian Open'",MISC,,,,
0,train,142,"[95, 104): 'Malaysian'",MISC,Sentence,"[95, 109): 'Malaysian Open'",MISC,,,,
5,train,144,"[1096, 1112): 'WESTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities,,,
5,train,144,"[1255, 1262): 'FLORIDA'",LOC,Tag,,ORG,Baseball team,,,
2,train,144,"[1331, 1339): 'COLORADO'",LOC,Tag,,ORG,,,,
2,train,144,"[1340, 1348): 'NEW YORK'",ORG,None,,,,,,
4,train,144,"[740, 747): 'CHICAGO'",LOC,Tag,,ORG,,,,
4,train,144,"[748, 755): 'DETROIT'",ORG,None,,,,,,
2,train,144,"[780, 789): 'MINNESOTA'",LOC,Tag,,ORG,,,,
2,train,144,"[790, 805): 'NATIONAL LEAGUE'",MISC,None,,,,,,
2,train,144,"[88, 109): 'Major League Baseball'",MISC,None,,,,,,
1,train,145,"[83, 95): 'Major League'",MISC,Sentence,"[83, 104): 'Major League Baseball'",MISC,,,,
4,train,146,"[21, 29): 'SORRENTO'",PER,None,,,,,,
,train,147,"[161, 167): 'Lisbon'",LOC,Tag,,ORG,Soccer team,,,
0,train,147,"[19, 27): 'SPORTING'",ORG,None,,,,,,
4,train,147,"[75, 83): 'Sporting'",ORG,None,,,,,,
2,train,155,"[1400, 1408): 'Brussels'",LOC,None,,,,,,
0,train,158,"[1002, 1007): 'Smyth'",PER,Sentence,"[998, 1007): 'Des Smyth'",PER,,,,
0,train,158,"[676, 683): 'Michael'",PER,Sentence,"[676, 690): 'Michael Jonzon'",PER,,,,
0,train,158,"[684, 690): 'Jonzon'",PER,Sentence,"[676, 690): 'Michael Jonzon'",PER,,,,
0,train,158,"[831, 836): 'Wayne'",PER,Sentence,"[831, 842): 'Wayne Riley'",PER,,,,
0,train,158,"[837, 842): 'Riley'",PER,Sentence,"[831, 842): 'Wayne Riley'",PER,,,,
0,train,158,"[998, 1001): 'Des'",PER,Sentence,"[998, 1007): 'Des Smyth'",PER,,,,
3,train,159,"[1169, 1185): 'American Olympic'",MISC,Span,"[1169, 1177): 'American'",MISC,,,,
3,train,159,"[1169, 1185): 'American Olympic'",MISC,Span,"[1178, 1185): 'Olympic'",MISC,,,,
4,train,159,"[1415, 1422): 'Olympic'",MISC,None,,,,,,
5,train,159,"[2162, 2170): 'Jamaican'",MISC,None,,,,,,
2,train,159,"[2171, 2183): 'Commonwealth'",ORG,None,,,,,,
5,train,159,"[22, 30): 'MITCHELL'",PER,None,,,,,,
4,train,159,"[900, 907): 'Atlanta'",LOC,None,,,,,,
5,train,160,"[3752, 3767): 'Malgorzata Rydz'",PER,None,,,,,,
4,train,161,"[19, 24): 'JORGE'",PER,None,,,,,,
5,train,161,"[38, 43): 'PORTO'",ORG,None,,,,,,
4,train,161,"[56, 65): 'WORLD CUP'",MISC,None,,,,,,
5,train,163,"[130, 134): 'UEFA'",ORG,None,,,,,,
0,train,165,"[672, 682): 'Australian'",MISC,None,,,,,,
1,train,169,"[50, 61): 'trip-Canada'",MISC,Token,"[55, 61): 'Canada'",LOC,"Tokenizer treated ""trip-Canada"" as a single token",,,
2,train,174,"[1047, 1050): 'MED'",LOC,None,,,,,,
2,train,174,"[1052, 1061): 'BLACK SEA'",LOC,None,,,,,,
,train,174,"[1062, 1068): 'Hemina'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
3,train,174,"[108, 115): 'RED SEA'",LOC,None,,,,,,
,train,174,"[116, 124): 'Konpolis'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
,train,174,"[163, 166): 'TBN'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
,train,174,"[235, 252): 'Petrobulk Rainbow'",ORG,Tag,,MISC,Name of a ship,,,
2,train,174,"[300, 309): 'BLACK SEA'",LOC,None,,,,,,
5,train,174,"[310, 313): 'TBN'",ORG,None,,ORG,Name of a ship,"Karthik: I think these are still orgs, looking at the other entries in the table",,
2,train,174,"[363, 377): 'Port Christine'",ORG,None,,ORG,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,"Karthik: I think these are still orgs, looking at the other entries in the table",,
3,train,174,"[387, 395): 'Pembroke'",LOC,None,,,,,,
3,train,174,"[397, 399): 'US'",LOC,None,,,,,,
,train,174,"[435, 450): 'Kpaitan Stankov'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
1,train,174,"[479, 483): 'Hess'",ORG,None,,,,,,
,train,174,"[485, 494): 'AP Moller'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
5,train,174,"[53, 56): 'GMT'",MISC,None,,,,,,
,train,174,"[530, 535): 'Tiber'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
5,train,174,"[564, 571): 'Stinnes'",ORG,None,,,,,,
2,train,174,"[668, 675): 'RED SEA'",LOC,None,,,,,,
2,train,174,"[676, 684): 'Tenacity'",ORG,None,,ORG,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,"Karthik: I think these are still orgs, looking at the other entries in the table",,
5,train,174,"[720, 727): 'Samsung'",ORG,None,,,,,,
,train,174,"[729, 737): 'SKS Tana'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
,train,174,"[772, 787): 'Northsea Chaser'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
,train,174,"[825, 833): 'Sibonina'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
,train,174,"[889, 901): 'Neptune Crux'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
2,train,174,"[94, 106): 'MIDEAST GULF'",LOC,None,,,,,,
,train,174,"[947, 959): 'World Bridge'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
,train,174,"[997, 1003): 'Fulmar'",ORG,Tag,,MISC,Ambiguous: Name of a ship; marking as MISC for consistency with other docs,,,
3,train,177,"[293, 297): 'Pole'",MISC,None,,,,,,
4,train,177,"[58, 67): 'Ori Lewis'",PER,None,,,,,,
5,train,177,"[68, 73): 'TAIBE'",LOC,None,,,,,,
1,train,177,"[841, 846): 'Likud'",ORG,None,,,,,,
3,train,181,"[106, 118): 'Rwandan Hutu'",MISC,None,,,Ambiguous: Should this be two entities?,,,
3,train,181,"[218, 230): 'Rwandan Hutu'",MISC,None,,,Ambiguous: Should this be two entities?,,,
0,train,184,"[244, 252): 'Interior'",ORG,None,,,,,,
2,train,191,"[1861, 1864): 'God'",PER,None,,,"Ambiguous: I guess this falls under ""fictional characters""?",,,
3,train,191,"[59, 71): 'Rana Sabbagh'",PER,None,,,,,,
3,train,191,"[72, 77): 'AMMAN'",LOC,None,,,,,,
3,train,196,"[11, 15): 'Mass'",LOC,Sentence,"[11, 16): 'Mass.'",,Sentence boundary in middle of headline,,,
4,train,196,"[176, 182): 'Senate'",ORG,None,,,"Ambiguous: ""U.S. Senate"" treated as two entities; should it be a single entity?",,,
5,train,197,"[469, 471): 'Dm'",MISC,None,,,,,,
2,train,197,"[546, 548): 'Dm'",MISC,None,,,Ambiguous: Abbreviation for Deutche Mark,,,
0,train,198,"[745, 751): 'Little'",PER,Wrong,,,,,,
5,train,199,"[47, 51): 'U.S.'",LOC,None,,,,,,
1,train,199,"[53, 62): 'Sri Lanka'",LOC,None,,,,,,
3,train,202,"[756, 764): 'Euromark'",MISC,None,,,,,,
3,train,208,"[143, 161): 'The Walt Disney Co'",ORG,Sentence,"[143, 162): 'The Walt Disney Co.'",ORG,Incorrect sentence boundary led to period being left off of abbreviation,,,
0,train,208,"[2962, 2980): 'Kalf, Voorhis & Co'",ORG,Sentence,"[2962, 2981): 'Kalf, Voorhis & Co.'",ORG,Incorrect sentence boundary led to period being left off of abbreviation,,,
2,train,208,"[516, 524): 'Glenview'",LOC,None,,,,,,
5,train,214,"[314, 325): 'Mississippi'",LOC,None,,,,,,
5,train,214,"[75, 86): 'LITTLE ROCK'",LOC,None,,,,,,
5,train,214,"[88, 91): 'Ark'",LOC,None,,,Ambiguous: Sentence boundary between location and date in dateline,,,
2,train,216,"[26, 35): 'CheckFree'",ORG,None,,,,,,
5,train,219,"[116, 151): 'Koninklijke Boskalis Westminster NV'",ORG,None,,,,,,
5,train,223,"[208, 221): 'New Scientist'",ORG,None,,,,,,
3,train,226,"[513, 519): 'Sydney'",LOC,None,,,,,,
0,train,236,"[875, 880): 'Irish'",MISC,None,,,,,,
,train,237,"[11, 21): 'Ford China'",ORG,Span,"[11, 15): 'Ford'",,"""Ford China JV"" ==> Ford China joint venture",,,
,train,237,"[11, 21): 'Ford China'",ORG,Both,"[16, 21): 'China'",LOC,"""Ford China JV"" ==> Ford China joint venture",,,
5,train,237,"[83, 90): 'Chinese'",MISC,None,,,,,,
2,train,240,"[231, 248): '1,000 Lakes Rally'",MISC,None,,,,,,
3,train,240,"[45, 50): 'MCRAE'",PER,None,,,,,,
2,train,240,"[92, 99): 'Finland'",LOC,None,,,,,,
3,train,242,"[47, 54): 'FINNISH'",MISC,None,,,,,,
1,train,242,"[553, 560): 'Belgian'",MISC,None,,,,,,
1,train,246,"[27, 47): 'WORLD SERIES OF GOLF'",MISC,None,,,,,,
,train,249,"[144, 151): 'England'",LOC,Tag,,ORG,Cricket team,,,
,train,249,"[156, 164): 'Pakistan'",LOC,Tag,,ORG,Cricket team,,,
,train,249,"[190, 197): 'England'",LOC,Tag,,ORG,Cricket team,,,
,train,249,"[20, 27): 'ENGLAND'",LOC,Tag,,ORG,Cricket team,,,
0,train,249,"[247, 252): 'Waqar'",PER,Sentence,"[247, 259): 'Waqar Younis'",PER,,,,
0,train,249,"[253, 259): 'Younis'",PER,Sentence,"[247, 259): 'Waqar Younis'",PER,,,,
,train,249,"[266, 274): 'Pakistan'",LOC,Tag,,ORG,Cricket team,,,
,train,249,"[30, 38): 'PAKISTAN'",LOC,Tag,,ORG,Cricket team,,,
5,train,249,"[329, 333): 'Cork'",PER,None,,,,,,
2,train,256,"[56, 68): 'SOUTH AFRICA'",LOC,None,,,,,,
0,train,258,"[588, 596): 'Sutjeska'",ORG,None,,,,,,
2,train,262,"[1285, 1296): 'LOS ANGELES'",LOC,Tag,,ORG,Baseball team,,,
5,train,262,"[1297, 1305): 'MONTREAL'",ORG,None,,,,,,
2,train,262,"[1337, 1344): 'FLORIDA'",LOC,Tag,,ORG,Baseball team,,,
2,train,262,"[1345, 1355): 'PITTSBURGH'",ORG,None,,,,,,
3,train,262,"[740, 748): 'NEW YORK'",LOC,Tag,,ORG,Baseball team,,,
3,train,262,"[749, 756): 'DETROIT'",ORG,None,,,,,,
1,train,262,"[781, 790): 'MINNESOTA'",LOC,Tag,,ORG,Baseball team,,,
1,train,262,"[791, 806): 'NATIONAL LEAGUE'",MISC,None,,,,,,
0,train,263,"[329, 344): 'National League'",MISC,None,,,,,,
3,train,263,"[345, 355): 'Cincinnati'",ORG,None,,,,,,
0,train,263,"[81, 93): 'Major League'",MISC,Sentence,"[81, 102): 'Major League Baseball'",MISC,,,,
1,train,265,"[33, 37): 'AJAX'",ORG,None,,,,,,
1,train,267,"[27, 33): 'FRENCH'",MISC,None,,,,,,
0,train,273,"[405, 415): 'Bundesliga'",MISC,None,,,,,,
3,train,283,"[51, 65): 'Emelia Sithole'",PER,None,,,,,,
